target,text
2498,mohon jawabannya 
2499,puncak pengiriman ramadhan j amp t express memecahkan rekor pengiriman juta paket pe 
2500,wahh layanan pengiriman gratis asuransi menawarkan keuntungan pengiriman gede 
2501,hapus minor well educated sistem cod perlu fitur kejadian salah pelaku pakai tidak baca s amp 
2502,hai friends mimin ingetin waspada tindak penipuan mengatasnamakan j amp t express 
2503,mjd karyawan lapangan menuntut interaksi sosial tidak jarang admin maya menjumpai pengalama 
2504,memesan barang gunakan pengiriman estimasi barang terima sayangnya barang terima kasih alasan tujuan pengiriman mrupakan kantor tutup pdahal kantor buka x jamx libur nasional buka 
2505,min gmn paket resi ga tanggal mei tidak pergerakan pad 
2506,pagi kak menanyakan perihal pengiriman paket shopee atur pengiriman jam kantor dikirimkan libur 
2507,min gmn paket resi ga tanggal mei tidak pergerakan pad 
2508,min gmn paket resi ga tanggal mei tidak pergerakan paket reguler 
2509,selamat raya waisak friends merayakan semoga bersinar cahaya wa 
2510,doang intinya ga rekening malas bikin rekening malas jalan order online malas baca bodoh malas pangkal bodoh system apapun works klien nya tidak malas minimal tidak malas baca tabiatnya malas mudahin dosa 
2511,selamat raya waisak friends merayakan semoga bersinar cahaya wa 
2512,mohon informasi pengiriman via resi jp status tidak bergerak tanggal mei mohon konfirmasi nya 
2513,selamat raya waisak friends merayakan semoga bersinar cahaya waisak j amp t express beroperasi libur 
2514,min resi jp statusnya sdh diterima diterima paketnya nyampe min 
2515,mjb pke id exp ngadu 
2516,jp seminggu cuman menngecewakan huffft paling lagu nyampe tolonglah 
2517,min tlg jp barang katanya pick up tidak sbg pembeli ppjg garansi shopee 
2518,sistem cod ngemudahin belanja online aslinya abang ga memiliki rekening males bayar minimarket sistem cod alternatif pribadi beli barang sh pee lazada pakai cod an alhamdulillah ga 
2519,emg 
2520,kebangetan seller tipu ngirim paket ga isinya masuk penipuan dipidana dilaporin polisi ngebantu bikin laporan polisi biar diproses kasusnya biar pelajaran seller ga ngelakuin 
2521,neh 
2522,dibikin iklan edukasi alasan nya tidak tv tidak kuota gagap teknologi browsing inget cod tidak rekening belanja toko konvensional belanja mall pasar pasar malam anarkis pas cod 
2523,min libur tidak 
2524,awal masyarakat minim literasi digital maunya serba instan easy ga belajar nambah knowledge ujung ujungnya kasus si konflik dg abg kurirnya 
2525,emg lbh sistem cod stop sbntar perlu tuh jlsan pas iklan tv gmna sistem cod 
2526,min bantuannya paket nomer resi jp statusnya tertunda pelanggan tidak menunggu barangnya tidak ga telpon kurirnya mohon bantuannya min terimakasih 
2527,jp stuck teruski gowa diantar kurirnya 
2528,neh 
2529,sifat manusiawi manusia pengen cepat diambil enaknya bareng gk atw katakan ditipu pengen duitnya 
2530,halo kak selamat pagi resi pengiriman jp status nya paket percobaan pengiriman paket gagal terlambat mengikuti jadwal mobil operasional halo kak paket 
2531,armada melayani mnyediakan kurir cod ditugasi mmberi opsi kpada pnerima paket mendokumentasikan video unpacking paketnya bantu si pembeli bilamana komplain bukan tugas fotoin penerima saj 
2532,tidak semudah penerapannya gusti agung ga sesepele penyebarannya target orgnya minim informasi teknologi memang perlindungan kurir solusi cod ect 
2533,penanganan paket hilang min paket hilang dr disuruh nunggu 
2534,neh 
2535,dasarny ditulis s amp nya pengguna dianggap mengerti sbnrnya bukan tanggung jawab e commerce mengedukasi diedukasi kekny ga jaminan kayak gini ga terulang 
2536,neh 
2537,s amp fitur bantuan penjelasannya desa pelosok males baca buka fitur memesan via cod delivery 
2538,sistem cod gini menurutku dimanfaatkan bbrp seller tipu buyer ny video bilang ketipu bukan ga mungkin cod ketipumakanya diapus ajalagian prosedur dijelasin e commerce nya sblm beli 
2539,ngelebihin jam kerja dicoba dikirim besoknya 
2540,stuju sih sistem cod skrng diperbaiki 
2541,ga bicara pakai iklan dg bahasa mudah ditayanginnya jam primetime lihat seenggak nya kampung nonton lihat kan cerita temannya nyebarin mulut mulut 
2542,jt jt resi pergerakan mohon update nya 
2543,paket berisi makanan malang tujuan makassar status drop point makassar dikirim banjarmasin diberangkatkan jakarta 
2544,ah kelamaan apus 
2545,kasih saran read 
2546,mungkin tanggal merah 
2547,neh 
2548,neh 
2549,buka kan meskipun tanggal merah 
2550,on hold gini 
2551,saran min lowongan kurir minimal tarung teteg ora koe teteg 
2552,seller nya ngeselin kirim barang kosong g kirim pas chat g respon ketemu buyer g mengerti gmn ngembliin barang kurir kena 
2553,paket gk gerak tanggal 
2554,neh 
2555,neh 
2556,ngatur 
2557,didik wkwkwk coba bicara kolot bin dongok 
2558,neh 
2559,p i india 
2560,paket gagal melulu dikirim pdhl guanya nganter paket ga menelepon wa 
2561,bikin iklan edukasi tidak benar banget dicancel deh cod sadar masyarakat pintar 
2562,hapus sistem cod bos plus naikan gaji sprinter denda nya 
2563,bi 
2564,detail iklannya bikin kampanye biar melek dg sistem tugasnya e commerce sih mengedukasi masyarakat 
2565,neh 
2566,seh ga salah deh iklan cod disitu dijelasin nya bayar dirumah ga detail banget mudahan perbaikan e commerce sistem cod 
2567,abang minimal bikin iklanlah ngeedukasi masyarakat awam dg sistem cod tayangin tv nasional jam primetime biar seumuran melihat nonton iklan kampanyenya pakai bahasa mudah dimengerti 
2568,dididik seh balikin e commerce nya penjelasan sistem cod biar paham paling tidak terdekat seh nge jelasin cod pakai sistem 
2569,neh 
2570,viral 
2571,neh 
2572,masalahnya kan buyersnya referensi mas edukasi sop pembelian dg payment cod delivery solusinya dididik masyarakat biar mengerti sistem codnya dihapus 
2573,nya tunggu korban luka koment deh muncul gagah berani 
2574,gakan tanggep kan laku wkwk 
2575,neh 
2576,neh 
2577,neh 
2578,neh 
2579,neh 
2580,neh bikin sistem cod membahayakan kurir tunggu korban tanggapin neh deh hapus sistem cod pengguna ga paham 
2581,halo min not found resi nya 
2582,min gmn paket resi ga tanggal mei tidak pergerakan paket 
2583,min gmn paket resi ga paket reguler 
2584,min gmn paket resi ga paket reguler 
2585,min gmn paket resi ga tanggal mei tidak pergerakan paket 
2586,tanggal ga solusi 
2587,wa kakak ga balas wa fastresp 
2588,min gmn paket resi ga paket reguler 
2589,solok sumbar pagaralam sumsel transit bandar lampung follow up 
2590,solok pagaralam sumsel transit bandar lampung investigasi track aneh follow up salah sortir pegawai 
2591,hilang kepercayaan paket hilang kurir amp tidak pertanggungjawaban 
2592,halo min loss scan maksudnya disitu keterangannya terima orangnya terima paketnya 
2593,halo min proses resi update paketnya tengkyu jp 
2594,pantau kak perlu mention miminnya paket estmasi pengirimannya skr stuck 
2595,parah sih untung pakai 
2596,buset deh paket tanggal ga scan arrived duitnya tidak cair bray duitnya kepake gmn seh ga discan hadehhh jp telpon x email keluhan email cs ga diwaro 
2597,kurir nya nelpon pager rumah ga basa basi ramah dokumentasi ijin 
2598,oke jam nunggu min 
2599,paket transit makassar diteruskan banjarmasin sih paket isi makanan 
2600,jp admin why took so long estimasi pengiriman follow up 
2601,terima status terkirim bantu cek min resi 
2602,nomor resi jb tangsel kirain sehari lambat sicepa anteraj ninja sejabodetabek sehari payah ah tidak pakai j t 
2603,cek paket seminggu tidak dikirim jp 
2604,juragan tidak pelayanan buruk sampah si si cepat 
2605,pas ga rumah paket tertulis pencet pesanan diterima rumah pikir dititip tetangga pulang taunya tidak uang salah kirim tertinggal drop point 
2606,halo admin menanyakan paket kiriman caranya 
2607,kendala pick up 
2608,biar baca ketidak profesionalan salah agen 
2609,waaah oke terima kasih kaakkirain libur pengiriman libur 
2610,kyknya mah pengiriman buka deh ga libur 
2611,besok buka gk 
2612,say cek resi keterangan terkirim menerima paketnya inih kurirnya ga hubungi paket curi kurir 
2613,admin tanyakalo kirim paket shopee pickup toko tidak uang printer ditulis tangan tidak 
2614,paket jkrtbdg paling lambat melebihi estimasi paket jkrt resi jp 
2615,hoo iyakah 
2616,min paket nomor resi jp tidak pergerakan pengirimannya internal cgk mohon difollow up terima kasih 
2617,bgtu sya paket metode paham krena sya awal bayar biaya pengiriman nya terima kasih infonya min 
2618,hallo min punten kirim dokumen kaya surat lamaran aman tidak takutnya kelipet terima kasih 
2619,oke 
2620,halo kakak mohon maaf ketidaknyamanannya status paket tsb dibant cek evaluasi terkait mohon kesediaannya menunggu terima kasih 
2621,halo kakak mohon maaf ketidaknyamananya laporan terima bantu follow up terkait dimaksimalkan mohon kesediaannya menunggu silahkan hubungi call center tindakan terima kasih 
2622,halo kakak mohon maaf ketidaknyamanannya status paket tsb paket menggunakan metode pembayaran penerima membayar ongkos kirim paketnya kakak terima kasih 
2623,halo kakak nomor resinya disini mimin bantu cek terima kasih 
2624,min sore paket suruh bayar biaya kirim rb si online shop nya tidak membayar ongkos kirim ongkos kirim bebankan menerima paket 
2625,halo kakak mohon maaf ketidaknyamanannya status paket tsb mimin bantu follow up terkait mohon kesediaannya menunggu terima kasih 
2626,halo kakak kendala terkait pickup paket mohon menghubungi tim call center informasi terima kasih 
2627,halo kakak mohon maaf ketidaknyamanannya status paket tsb paket on process menuju palembang gateway mohon kesediaannya menunggu kakak terima kasih 
2628,resi keluar seller atur dikirimnya mah resi dikirim gais heheheheh 
2629,halo kakak mohon maaf ketidaknyamanannya status paket tsb paket diterima rozy pratiwi agustin tanggal mei paket diterima kakak terima kasih 
2630,halo kakak mohon maaf ketidaknyamanannya follow up evaluasi kakak mohon kesediaannya menunggu terima kasih 
2631,tidak bertahan dibumi pertiwi tercinta 
2632,paketnya 
2633,balas dm 
2634,terbaik bismillah brand ambassador 
2635,resi jp sortiran ngasem ga berubah dipercepat ga terlanjur busuk tanamannya 
2636,si dr abang j amp t barang keluar resi status tidak gerak katanya otamatis dr order resi keluar agak ribet si mikir dikirim 
2637,sapa kurirnya vacation positif thinking 
2638,paket tanggal mei posisi kupang estimasi diterima sih cuman banget kupang seminggu barang nyantol kupang 
2639,min cek jp notif barang terima 
2640,wkwkwkw hooh kak tencu 
2641,semangat ye cari cuan oppa 
2642,yah paket ku dianter pakai counter 
2643,tuh titipin abang nya pas nganter paket req ga diambil 
2644,yah gapunya kenalan dalem 
2645,hoo tnc si diambil gatau mesti kenal dalem 
2646,kak 
2647,req paket than abangku gabakal diambil 
2648,min paket kmn 
2649,min paket salah sortir hrsnya rumah kirim batam update tidak update tlnng cek bikin emosi resi 
2650,paket kabar paket hilang jp 
2651,set pick up kurir jam siang sore tidak diambil woy pergi permisi 
2652,halo mohon maaf kak ketidaknyamanan kendala mohon menghubungi call center terima kasih 
2653,halo kakak mohon maaf ketidaknyamanannya paket tsb on process menuju legok tanggal mei mohon kesediaannya menunggu terima kasih 
2654,min terima kasih sehat 
2655,halo kakak mohon maaf ketidaknyamanannya status paket tsb paket diantar alamat tujuan sprinter mohon ditunggu paketnya terima kasih 
2656,halo kakak mohon maaf ketidaknyamanannya status paket tsb paket dalam on process pengiriman menuju tangerang gateway via transportasi mobil mohon kesediaannya menunggu kakak terima kasih 
2657,kakak mohon maaf kakak terima kasih memilih jasa pengiriman j amp t express 
2658,okay min diterima paketnya terima kasih 
2659,halo kakak mohon maaf ketidaknyamanannya status paket tsb paket diantar alamat tujuan sprinter mohon ditunggu paketnya terima kasih 
2660,min posisi dr resi 
2661,halo kakak mohon maaf ketidaknyamanannya status paket tsb paket dalam pengiriman bertahap menuju jakarta gateway mohon kesediaannya menunggu kakak dimaksimalkan terima kasih 
2662,tentuin eco pengirimannya jadwal tolak paket mentah mentah shopee jadwal penantaran 
2663,kirim alamat rumah max jam kirim kantor pakai best nyampenya batas gk speak up kejadian gini 
2664,baca max jam dihubungi jam diam loh gk komplain sih pakai layanan best rela menerima barang batas 
2665,katilayu feat kalimaya bantenpaket hemat essen katilayubahan getah katilayukalimaya banten pola dasarterima kakak 
2666,katilayu feat kalimaya bantenpaket hemat essen katilayubahan getah katilayukalimaya banten pola dasarterima kakak 
2667,katilayu feat kalimaya bantenpaket hemat essen katilayubahan getah katilayukalimaya banten pola dasarterima kasih 
2668,katilayu feat kalimaya bantenpaket hemat essen katilayubahan getah katilayukalimaya banten pola dasarterima kasih 
2669,katilayu feat kalimaya bantenpaket hemat essen katilayubahan getah katilayukalimaya banten pola dasarterima kasih 
2670,paling jam barang bawa kurir ga nyampe nyampe deket gerainya 
2671,direndem youtube 
2672,katilayu feat kalimaya bantenpaket hemat essen katilayu essen katilayupola dasar kalimaya bantenterima kasih 
2673,katilayu feat kalimaya bantenpaket hemat essen katilayu essen katilayupola dasar kalimaya bantenterima kasih 
2674,katilayu feat kalimaya bantenpaket hemat essen katilayu essen katilayupola dasar kalimaya bantenterima kasih 
2675,hubungi 
2676,mecoba mendesain ulang logo fresh 
2677,tiktok total thr senilai miliar rupiah loh yuk bagikan thr nya keluargamu klik lihat eksplor tiktok dapatkan uang harinya unduh aplikasinya 
2678,min kan orderan dr shopee kurirnya dateng tidak klik apapun muncul tulisan gagal pickup gini gmn 
2679,memang cepat 
2680,hubungi 
2681,nganternya bikin kecewa utamakan kenyamanan nyebelin resi nyebelin 
2682,buruan daftar slot online seru sbobetbisa deposit menggunakan virtual account dana ovo gopay linkaja amp sakuku menerima deposit pulsa telkomseluntuk informasi pendaftaran line dewibetwhatsapp cs 
2683,katilayupaket hemat bahan essen katilayu terima kasih 
2684,katilayupaket hemat bahan essen katilayu terima kasih 
2685,direndem youtube 
2686,line haul tuh gateaway ga sih 
2687,clean text 
2688,kirim alamat rumah max jam kirim kantor pakai best nyampenya batas gk speak up kejadian gini 
2689,baca max jam dihubungi jam diam loh gk komplain sih pakai layanan best rela menerima barang batas 
2690,katilayu feat kalimaya bantenpaket hemat essen katilayubahan getah katilayukalimaya banten pola dasarterima kakak 
2691,katilayu feat kalimaya bantenpaket hemat essen katilayubahan getah katilayukalimaya banten pola dasarterima kakak 
2692,katilayu feat kalimaya bantenpaket hemat essen katilayubahan getah katilayukalimaya banten pola dasarterima kasih 
2693,katilayu feat kalimaya bantenpaket hemat essen katilayubahan getah katilayukalimaya banten pola dasarterima kasih 
2694,katilayu feat kalimaya bantenpaket hemat essen katilayubahan getah katilayukalimaya banten pola dasarterima kasih 
2695,paling jam barang bawa kurir ga nyampe nyampe deket gerainya 
2696,direndem youtube 
2697,katilayu feat kalimaya bantenpaket hemat essen katilayu essen katilayupola dasar kalimaya bantenterima kasih 
2698,katilayu feat kalimaya bantenpaket hemat essen katilayu essen katilayupola dasar kalimaya bantenterima kasih 
2699,katilayu feat kalimaya bantenpaket hemat essen katilayu essen katilayupola dasar kalimaya bantenterima kasih 
2700,hubungi 
2701,mecoba mendesain ulang logo fresh 
2702,tiktok total thr senilai miliar rupiah loh yuk bagikan thr nya keluargamu klik lihat eksplor tiktok dapatkan uang harinya unduh aplikasinya 
2703,min kan orderan dr shopee kurirnya dateng tidak klik apapun muncul tulisan gagal pickup gini gmn 
2704,memang cepat 
2705,hubungi 
2706,nganternya bikin kecewa utamakan kenyamanan nyebelin resi nyebelin 
2707,buruan daftar slot online seru sbobetbisa deposit menggunakan virtual account dana ovo gopay linkaja amp sakuku menerima deposit pulsa telkomseluntuk informasi pendaftaran line dewibetwhatsapp cs 
2708,katilayupaket hemat bahan essen katilayu terima kasih 
2709,katilayupaket hemat bahan essen katilayu terima kasih 
2710,direndem youtube 
2711,line haul tuh gateaway ga sih 
2712,x jam dipick up 
2713,katanya tidak cepat ganti nama deh 
2714,hallo selamat sore kak ekspres kak kamila mohon maaf informasi paket kakak dilanjutkan dm kak terima kasih 
2715,saranin pipa poster aman pakai sicepatsoalnya kejadian x hilang konfirmasi buyer 
2716,si mas nganter pakai counter melayaninya rramah banget ditunjukkin mbak nyatet resinya merhatiin kerja rapi cepat cepat mah si merah satunya cepat rapi 
2717,banget bun bomat tethering ibu habis manteb banget notifnya tumben galambat 
2718,beneran deh paling mantul 
2719,hai kak miske pickup marketpalace olshop pribadi terdaftar member kak terima kasih agent 
2720,setuju banget namanya harga ongkirnya tidak bedanya kompetitor kecepatan pengirimannya aduhai maks kompetitor 
2721,pket ngestuck dsna 
2722,beneran cepat banget takjub 
2723,kakak cahya mohon maaf dicek paketnya dalam proses pengantaran kak dibantu infokan alamat lengkapnya rw rumah patokan rumah nomor telepon dihubungi kak terima kasih 
2724,benerrr bagus bangettt parah paket kardusnya berlipat lipat jebol 
2725,jewel agak nyusahin pick up gamau katanya suruh repack gmn pakk 
2726,kak rb kirim minimal transaksi jam pakai pilihan kurirnya cepat 
2727,kak eva data kedaton rumah deket ga dianter marah ikan gamakan 
2728,others tipsy gendong pulang tipsy pulang pakai others tipsy duduk meracau gajelasaku tipsy duduk ceritakan aibmu bossmu perusahaanmu 
2729,kak seyna mohon maaf ketidaknyamannya perihala tsb mohon melampirkan resi alamat lengkaap telepon whaatapp whatapp terimksih 
2730,hai kak umaya bantu 
2731,kakak mempermudah pengecekan mohon menginformasikan nomor resi nya ketik manual tidak kesalahan dalam proses input kakak terima kasih menghubungi ekspres 
2732,hai kak andi mohon maaf informasikan nomor resi paket kakak maksud terimakasih 
2733,kakak mempermudah pengecekan mohon menginformasikan nomor resi nya ketik manual tidak kesalahan dalam proses input kakak terima kasih menghubungi ekspres 
2734,min paket shopee diterima keluarga resi 
2735,paket ko tidak jalan nyangkut bantu 
2736,hai kak eva mohon maaf ketidaknyamanannya dibantu nomor resi terkait kak melakukan pengecekan terimakasih 
2737,hai kak miske bantu infokan terkait melakukan proses pickup dalam x jam melakukan pickup harap konfirmasi terima kasih agent 
2738,hai kak terima kasih menggunakan jasa pengiriman ekspres tunggu pengiriman kak terimakasih 
2739,aspresiasi skrng mengecewakan yah pick up urgent 
2740,kakak terima kasih kesediaannya menunggu proses pick up paketnya tim terkait kak 
2741,ditungguu 
2742,tu cepatnya halu 
2743,diterima min 
2744,pakai halu btul ku pilih soalnua murah shjakshsk 
2745,pakai emg program free ongkos kirim barang tidak statusnya dibawah kurir melulu nunggu kurirnya ga 
2746,cinta banget sih semoga pelayanannya kaya gini 
2747,kejadian langkah hukum memutuskan menolak jalur mediasi 
2748,cras cris cross teros x nerima paket ikanku puasa nungguin pelet criscrosan 
2749,suka deh ngincer ongkos kirim murah sopi pakai halu sampenya kya reguler cocok deh 
2750,kak nomor resi tsb masuk dalam pickup kak resi update website h pickup terima kasih 
2751,kak mohon kesediaannya menunggu proses pengiriman update informasi terbarunya kakak terima kasih agent 
2752,follow up 
2753,kakak mohon maaf kendala kakak maksimal update x jam kakak mohon ditunggu kakak terima kasih 
2754,mengsedih mengjleb gk gk marah si kak 
2755,hai kak status pengiriman kakak cek posisi paket kakak terima bondowoso tanggal mohon kesediaan kakak menunggu pastikan nomor telepon kakak dalam keadaan aktif terima kasih 
2756,capek konfirmasi melulu tidak memuaskan konfirmasi standar cs melulu barang hilang klaim asuransi mudah an ngajuin klaim asuransi ngk ribet 
2757,jam tidak update 
2758,mohon maaf paket nomor resi pickup kurir kakak terimakasih 
2759,mohon maaf ketidaknyamanannya lakukan pengecekan nomor resi tsb paketnya dalam proses investigasi tim kakak menerima konfirmasi hubungi tim perihal kendala kakak tsb terimakasih 
2760,mohon maaf kakak penerima pengirim kakak terimakasih 
2761,resi gmn kelanjutan nya tidak update stuck batas nyampe nya kaya gini pelayanan kaduhung make lila ngirim na ditanya gudang bandung selatan dm lieur didieu we meh 
2762,hai kak selamat siang sheila perihal paket nomor resi dalam proses antrian pick up kak mohon berkenan menunggu proses pick up nya kak terima kasih 
2763,update yak 
2764,min harian stuck melulu mintol dicekkin resinya 
2765,hai kak mohon maaf kendala memudahkan melakukan proses investigasi kakak bantu hubungi channel email line kak alamat nya akses link terima kasih 
2766,kakak follow up tim terkait dibantu kakak nomor telepon kakak dm kakak terima kasih ag 
2767,tertawa kakak resinya dikirim semoga suka dg acrylic lelouch nya mono tunggu ordernya kak 
2768,paket resi statusnya delivered nerima barangnya 
2769,min follow up 
2770,mas paket nganterin paket tu doang 
2771,pick up 
2772,benerrr benci banget shopee express beeet ganti 
2773,shopee express banget dahh anjing 
2774,cek dm kak 
2775,memang pakai tuh benar cepat bngt dateng nya 
2776,saranin pipa poster aman pakai sicepatsoalnya kejadian x hilang konfirmasi buyer 
2777,ceesan j t jneee ueueue hmu kak 
2778,cepat 
2779,
2780,ngalahin paket 
2781,kak mohon maaf dibantu infokan nama penerima alamat lengkap nomor telpon aktif dm kak terima kasih 
2782,bismillah gratis ongkos kirim seumur 
2783,gudang 
2784,
2785,saranin pipa poster aman pakai sicepatsoalnya kejadian x hilang konfirmasi buyer 
2786,tidak saranin pakai a teraja pas traffic belanjol hindarin pakai layanan reguler pakenya sameday or minimal nextday paling mantap sih pakai kurirnya jin pesen siang sore nyampe pager 
2787,nomor resi nya kak sbg penerima 
2788,hallo kakak agustin mohon maaf mempermudah pengecekan dibantu informasikan resi sicepatnya kakak terima kasih 
2789,banget cc hadeh admin counter nya ngelempar barang keranjang mohon perhatikan keranjang nya butuh cepat banget cc barang lempar seenak jidat salah keranjang ga efisien 
2790,bilang isinya surat plastikin req diplastikin 
2791,kak informasi informasi bantu terimakasih 
2792,kakak mohon maaf kendalnya terima kasih 
2793,terima kasih 
2794,paling mantap emg au deh 
2795,tunggu jam tunggu hingga tidak seumpama tidak penerima kompensasi nya 
2796,kakak lakukan proses pengecekan mohon melampirkan bukti pickup kertas bewarna pink drop struck bewarna putih nya kak lakukan proses investigasi terima kasih 
2797,dm 
2798,hai kak mohon maaf kendala internal data system paket dalam proses pengiriman tim operasional mengirimkan paketnya maksimal jam tujuan alamat kantor jam 
2799,tracking coba min 
2800,lupa naruh min 
2801,kakak jadikan evaluasi kedepannya dibantu kakak terima kasih 
2802,kurir nya tidak alamat penerima tidak inisiatif mendingan ambil paketan nya gerai 
2803,kakak maksimalkan pengirimannya kakak mohon ditunggu kakak terima kasih 
2804,mohon follow up terima kasih 
2805,kirim tunggu hingga arahan admin kenyataan nya tidak kirim follow up kurir nya terima kasih 
2806,literally benar benar cepat deh 
2807,kak mohon maaf ketidaknyamanannya kak perihal kualitas sdm kak terima kasih agent 
2808,kakak mohon maaf dibantu lampirkan bukti resi pick up nya kertas berwarna pink diberikan pengirim serah terima paket kurir kakak terima kasih 
2809,hai kak ekspres dian paket resi tsb dalam proses pengiriman alamat tujuan paket dibawa hendrix hermawan mohon kesediaannya menunggu kak terimakasih 
2810,kak mohon maaf informasi selengkapnya paket kakak dilanjutkan dm kak terima kasih 
2811,siang admin estimasi pengiriman paketan bantu follow up bagian kurir nya kurir tidak alamat nya si kurir tidak inisiatif penerima paket 
2812,pengirim 
2813,kak mohon maaf ketidaknyamanan bantu follow up tim terkait mohon berkenan menunggu proses nya kakak terima kasih 
2814,resi 
2815,min mudah foto kurirnya pas anak ikutan keluar ambil ga pakai foto aman minimal izin biar dikondisikan terima kasih 
2816,hallo kakak selamat siang yogi prasetya bantu kakak chek paket chek paket terkendala mohon kakak kirimkan nomor resi paketnya terima kasih 
2817,pakai halu banget paketku dikirim berhari masi ngestuck sidoarjo 
2818,cepat paket dikirim nyampe sleman 
2819,pakai j amp t aman deh kyknya poster gini tergantung kurir mah sbnrnya 
2820,kak mohon ditunggu kak terima kasih 
2821,dr x jam pick min mohon terima kasih 
2822,hai kak selamat siang mohon maaf kakak pengirim penerima kak terimakasih 
2823,oke kak ditunggu 
2824,min cek dm 
2825,barang sampenya estimasi mei tanggal hilal nya 
2826,kakak mohon berkenan menunggu hingga batas estimasi ditentukan kakak terima kasih agent 
2827,mohon bantu tracking barang tidak gerak min help 
2828,si cepat ga janji anjing estimasi besoknya nyampe 
2829,hai kak iqbal lakukan pengecekan manual data kakak berikan tidak sistem mohon konfirmasi pengirim kak terima kasih 
2830,bandung jakarta harianteraja jakarta jakarta 
2831,paling enak udahan seller kirim resi barangnya wkwkwk 
2832,min cek paket deh g resi terima kasih 
2833,hallo kak ekspres dibantu nomor resi paketnya lakukan pengecekan terima kasih 
2834,iyak benar bgttt perkiraan nyampe besok eh sore wkwk 
2835,yaallah bermasalah banget x salah input tersesat deeeh 
2836,kak disana status shopeehallo paketnya lambat tidak gerak gerak 
2837,si cepat nganternya pakai sukhoi melebihi kecepatan cahaya ga ditracking pintu loph 
2838,kakak asa pengecekkan system paket dalam proses pengiriman estimasi pengiriman nya kerja mohon ditunggu kakak terima kasih 
2839,min cekin gk gerak gerak deket 
2840,kemane siiih bilang pick up jam tidak dateng 
2841,gabole penjahat kelamin penjahat kelamin yaaa 
2842,kakak berharap paket kakak cepat keadaan kakak mohon ditunggu prosesnya kakak pastikan nomor telepon kakak aktif terima kasih ag 
2843,beli yuk shopee gratis ongkos kirim plus diskon yuk order dikirim pakai gosen grab anteraja 
2844,beli yuk shopee gratis ongkos kirim plus diskon yuk order dikirim pakai gosen grab anteraja 
2845,min terima kasih mudah an barang 
2846,tidak uang wa nyaa hshshs kan pick up beneran cepat datengnyaa ga dateng dateng 
2847,beli yuk shopee gratis ongkos kirim plus diskon yuk order dikirim pakai gosen grab anteraja 
2848,kakak berharap kendala terselesaikan dimohon kesediaan nya menunggu pastikan nomor telepon aktif informasi terima kasih 
2849,lakukan pengecekkan paket kakak dalam estimasi terinput pertanggal estimasi mohon ditunggu batas nomor telepon penerima aktif kakak terimakasih 
2850,kak bantu teruskan team terkait bantu kakak terima kasih 
2851,hai kak mohon maaf dibantu infokan nomor resi nya dm kak terima kasih 
2852,pdhl uda suka banget drpd j amp t eh ngecewain 
2853,pelayanan mengecewakan berawal criss cross salah tujuan konfirmasi wa amp twitter tggl follow up amp mohon menunggu pengalaman kena kasus ngk pakai ekpedisi 
2854,saranin pipa poster aman pakai sicepatsoalnya kejadian x hilang konfirmasi buyer 
2855,siang kak dibantu resi tidak progres kak tanggal mohon dibantu pengecekannya terima kasih 
2856,paketku hilang min gmn tuh uda packing aman jebol 
2857,is best expedition dont me 
2858,cek dm 
2859,kak seyna mohon maaf ketidakanyamannya dibantu kembaali telepon yng hub kak terimakasih 
2860,status barang resi dikembalikan min sakarang 
2861,high risk high return bang kurir cod an dibagi katana emg hig 
2862,suka belanja alfamidi drop paket ekspres loh informasi selengkapnya cek amp ketentuan berlaku berlaku toko alfamidi wilayah bandung karawang 
2863,hai kakak pengecekan system paket dalam pengiriman estimasi pengirimannya kerja maksimalkan pengirimannya kakak mohon ditunggu kakak terima kasih 
2864,kak gmn resi progressnya ga update sjk tanggal 
2865,nder dom bekasi exol jugaa banget shopee exp pilih deket rumah 
2866,hai kak selamat siang devi mempermudahkan melakukan proses pengecekkan dibantu nomor resinya kak terima kasih 
2867,halo kak mohon maaf ketidaknyamanan perihal dibantu informasikan nomor resi nya diketik manual mempercepat proses pengecekkan paketnya kak terima kasih agent 
2868,kak mohon maaf perihal dilanjutkan dm kak terima kasih 
2869,sedihhh banget dom ku aneh alamat lengkap jalan rumah cat rumah bad address aneh fix 
2870,paket co pakai scpt belomm 
2871,nomor resi tanggal tidak bergerak mohon ditindaklanjuti kak 
2872,dmn gudang bandung selatan nya ambil gerai nya batununggal kopo 
2873,dikecewakan dikecewakan pengiriman lambat parah paket rusak pakai kecewa banget loh sayangnya bebas ongkos kirim tokopedia anteraja 
2874,kak cek dm terima kasih 
2875,kakak mohon tunggu paketnya digerai tujuan kakak paketnya terima kasih 
2876,gilak sih tidur ngayal paket tanggal tanggal gila 
2877,gini gudang bandung selatan ambil biar ga ribet kesel nunggu sore ga 
2878,beneran cepat 
2879,a b c 
2880,gila juara 
2881,hai sahabat main games yuk ayo coba bantu mimin susun urutan puzzle gambar utuh tulis kolom komentar 
2882,gajadi marah deh pesan barang tokped toko berbeda berbeda eh datangnya lgsung barengan kurirnya ramah ga kayak dibilang 
2883,tumben kurir jam segini dateng pick up pdhl nomer abang nya gaenak nyuruh 
2884,kakak intan paket kakak dalam estimasi kakak menunggu pengirimannya mohon dibantu nomor telepon aktif kak terima kasih 
